Start_Station Id,Start_Latitude,Start_Longitude,Start_complete_adress,Start_postcode,Start_county,Start_district,Start_state
5532.01,40.71528505,-74.03783,"93 Grand Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
HB101,40.73526955,-74.04294,"854 Jersey Avenue, Jersey City, NJ 07310, United States of America",7310,Hudson County,Jersey City,New Jersey
HB102,40.72918105,-74.06573,"880 Bergen Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Indian Square,New Jersey
HB103,40.73601556,-74.02932,"76 River Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,New Jersey
HB105,40.7328987,-74.04961,"228 Hoboken Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Jersey City,New Jersey
HB201,40.7498219,-74.02506,"1125 Maxwell Lane, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB202,40.74859822,-74.03519,"904 Jefferson Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB203,40.75371504,-74.02804,"200 14th Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB301,40.73706768,-74.03815,"70 Adams Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB302,40.74085355,-74.04294,"100 Marshall Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Jersey City,New Jersey
HB303,40.74060249,-74.03391,"232 Willow Avenue, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB304,40.739627,-74.04307,"Paterson Avenue, Hoboken, NJ 07307, United States of America",7307,Hudson County,Not found,New Jersey
HB305,40.74717188,-74.0388,"Monroe 3, Harrison Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,New Jersey
HB401,40.73723543,-74.04274,"Hoboken Small Business Center, 50 Harrison Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB402,40.73793423,-74.04307,"53 Marshall Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB404,40.73781204,-74.04057,"64 Monroe Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB407,40.7251141,-74.04567,"617 Jersey Avenue, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
HB408,40.7401731,-74.04307,"210 Paterson Avenue, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB409,40.73711252,-74.03684,"415 Newark Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB501,40.74709463,-74.03664,"723 Madison Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB502,40.74587655,-74.03391,"705 Grand Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB503,40.74969864,-74.03663,"ShopRite, 900 Madison Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,New Jersey
HB505,40.75103974,-74.0306,"1100 Willow Avenue, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,New Jersey
HB506,40.72045302,-74.04307,"Orale Mexican Kitchen, 341 Grove Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Newport,New Jersey
HB507,40.75039983,-74.03447,"Ballpark Apartments, 1017 Jefferson Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,New Jersey
HB601,40.71725845,-74.03382,"10 Columbus Drive, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
HB602,40.74104523,-74.03432,"Hoboken University Medical Center, 308 Willow Avenue, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,New Jersey
HB603,40.74514806,-74.02838,"Academy of the Sacred Heart High School, Washington Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB607,40.74025834,-74.02907,"300 Hudson Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
HB608,40.73870254,-74.03328,"125 Park Avenue, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,New Jersey
JC002,40.70966756,-74.06845,"98 Forrest Street, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC003,40.71583808,-74.06708,"Grand Street at Summit Avenue, Summit Avenue, Jersey City, NJ 07087, United States of America",7087,Hudson County,Jersey City,New Jersey
