End_Station Id,End_Station_Name,End_Latitude,End_Longitude
,,,
,,40.64,-74.14
,,40.65,-74.14
,,,-74.12
,,40.67,-74.11
,,,-74.1
,,40.68,-74.1
,,40.69,-74.11
,,,-74.1
,,,-74.09
,,,-74.07
,,40.7,-74.1
,,,-74.09
,,,-74.08
,,,-74.07
,,,-74.06
,,,-74.05
,,40.71,-74.09
,,,-74.08
,,,-74.07
,,,-74.06
,,,-74.05
,,,-74.04
,,,-74.03
,,40.72,-74.11
,,,-74.09
,,,-74.08
,,,-74.07
,,,-74.06
,,,-74.05
,,,-74.04
,,,-74.03
,,40.73,-74.09
,,,-74.08
,,,-74.07
,,,-74.06
,,,-74.05
,,,-74.04
,,,-74.03
,,,-74
,,40.74,-74.15
,,,-74.07
,,,-74.06
,,,-74.05
,,,-74.04
,,,-74.03
,,,-74.02
,,40.75,-74.16
,,,-74.15
,,,-74.06
,,,-74.05
,,,-74.04
,,,-74.03
,,,-74.02
,,40.76,-74.05
,,,-74.04
,,,-74.03
,,,-74.02
,,40.77,-74.04
,,,-74.03
,,,-74.02
,,40.78,-74.02
,,,-74.01
,,40.79,-74.01
,,,-74
,,40.8,-74.15
,,,-74.07
,,40.81,-74.01
,,40.83,-73.98
,,40.85,-74.03
3696.05,Rogers Ave & Sterling St,40.6630619,-73.9538746
4161.01,Van Sinderen Ave & Truxton St,40.6786,-73.90369
4243.01,Commerce St & Van Brunt St,40.6812117,-74.00860912
4476.03,Marcy Ave & Lafayette Ave,40.6900815,-73.947915
4488.08,Court St & State St,40.6902375,-73.99203074
4553.04,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
4590.01,Soissons Landing,40.69231661,-74.01486576
4659.02,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
4700.06,Park Ave & St Edwards St,40.69608941,-73.97803415
4798.02,Forest Ave & Summerfield St,40.69922,-73.89795
4846.01,South St & Whitehall St,40.70122128,-74.01234218
4889.06,Bus Slip & State St,40.701907,-74.013942
4920.13,South St & Broad St,40.70188859,-74.01089877
4953.04,South St & Gouverneur Ln,40.70355377,-74.00670227
4962.01,Broadway & Battery Pl,40.70463334,-74.01361706
4962.02,Whitehall St & Bridge St,40.70366171,-74.01318133
4962.08,Broad St & Bridge St,40.70365182,-74.01167797
4993.02,Pearl St & Hanover Square,40.7047177,-74.00926027
4993.13,Old Slip & South St,40.70336687,-74.00786787
4993.15,Water St & Gouverneur Ln,40.70469668,-74.00803417
,,40.70469668,-74.00803417
