Start_Station_Id,Start_Latitude,Start_Longitude,complete_adress,postcode,county,district,city,state,Start_Station_Name
5532.01,40.71528505,-74.03782832,"93 Grand Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,Jersey City,New Jersey,Mercer St & Spring St
HB101,40.73526955,-74.03034222,"56 Hudson Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,Hoboken Terminal - Hudson St & Hudson Pl
HB102,40.72918105,-74.03479791,"575 Washington Boulevard, Jersey City, NJ 07310, United States of America",7310,Hudson County,Jersey City,Jersey City,New Jersey,Hoboken Terminal - River St & Hudson Pl
HB103,40.73601556,-74.02932143,"76 River Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,Hoboken,New Jersey,South Waterfront Walkway - Sinatra Dr & 1 St
HB105,40.7328987,-74.04960847,"228 Hoboken Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Jersey City,Jersey City,New Jersey,City Hall - Washington St & 1 St
HB201,40.7498219,-74.02409089,"1125 Maxwell Lane, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,12 St & Sinatra Dr N
HB202,40.74859822,-74.03519438,"904 Jefferson Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,14 St Ferry - 14 St & Shipyard Ln
HB203,40.75371504,-74.02652466,"116 14th Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,Bloomfield St & 15 St
HB301,40.73706768,-74.03814602,"70 Adams Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,4 St & Grand St
HB302,40.74085355,-74.04293907,"100 Marshall Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Jersey City,Hoboken,New Jersey,6 St & Grand St
HB303,40.74060249,-74.03391075,"232 Willow Ave, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,Clinton St & 7 St
HB304,40.739627,-74.03522956,"200 Clinton St, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,7 St & Monroe St
HB305,40.74717188,-74.03844333,"Monroe Center for the Arts, 623 Monroe St, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,9 St HBLR - Jackson St & 8 St
HB401,40.73723543,-74.04118013,"609 Observer Highway, Hoboken, NJ 07030, United States of America",7030,Hudson County,Not found,Hoboken,New Jersey,Southwest Park - Jackson St & Observer Hwy
HB402,40.73793423,-74.0394181,"73 Madison Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,Madison St & 1 St
HB404,40.73781204,-74.03857756,"68 Jefferson Street, Hoboken, NJ 07030, United States of America",7030,Hudson County,Hoboken,Hoboken,New Jersey,Mama Johnson Field - 4 St & Jackson St
HB407,40.7251141,-74.04566943,"617 Jersey Avenue, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,Jersey City,New Jersey,Adams St & 2 St
